0:0:0:0:0:0:0:1 - - [27/Oct/2021:08:53:07 +0530] GET /js/jquery.validate.min.js HTTP/1.1 200 21071
0:0:0:0:0:0:0:1 - - [27/Oct/2021:08:53:07 +0530] GET /js/additional-methods.min.js HTTP/1.1 200 13821
0:0:0:0:0:0:0:1 - - [27/Oct/2021:08:53:07 +0530] GET /js/odometer.min.js HTTP/1.1 200 9896
0:0:0:0:0:0:0:1 - - [27/Oct/2021:08:53:07 +0530] GET /js/bootstrap-dialog.js HTTP/1.1 200 21189
0:0:0:0:0:0:0:1 - - [27/Oct/2021:08:53:07 +0530] GET /js/bootstrap-datepicker.js HTTP/1.1 200 46820
0:0:0:0:0:0:0:1 - - [27/Oct/2021:08:53:07 +0530] GET /js/bootstrap.bundle.js HTTP/1.1 200 208002
0:0:0:0:0:0:0:1 - - [27/Oct/2021:08:53:07 +0530] GET /js/jquery.colorbox-min.js HTTP/1.1 200 11095
0:0:0:0:0:0:0:1 - - [27/Oct/2021:08:53:07 +0530] GET /js/typeahead.min.js HTTP/1.1 200 21804
0:0:0:0:0:0:0:1 - - [27/Oct/2021:08:53:07 +0530] GET /js/jquery.highlight.js HTTP/1.1 200 4089
0:0:0:0:0:0:0:1 - - [27/Oct/2021:08:53:07 +0530] GET /js/morris.js HTTP/1.1 200 60603
0:0:0:0:0:0:0:1 - - [27/Oct/2021:08:53:07 +0530] GET /js/raphael-min.js HTTP/1.1 200 90647
0:0:0:0:0:0:0:1 - - [27/Oct/2021:08:53:07 +0530] GET /js/scripts.js HTTP/1.1 200 18614
0:0:0:0:0:0:0:1 - - [27/Oct/2021:08:53:07 +0530] GET /js/bootstrap.bundle.js.map HTTP/1.1 404 -
0:0:0:0:0:0:0:1 - - [27/Oct/2021:08:53:07 +0530] GET /images/krystal.png HTTP/1.1 200 7835
0:0:0:0:0:0:0:1 - - [27/Oct/2021:08:53:07 +0530] GET /css/fonts/open-sans-v20-latin-regular.woff2 HTTP/1.1 200 14440
0:0:0:0:0:0:0:1 - - [27/Oct/2021:08:53:07 +0530] GET /fonts/bootstrap-icons.woff2 HTTP/1.1 200 90528
0:0:0:0:0:0:0:1 - - [27/Oct/2021:08:53:08 +0530] GET /console/profilepicture?size=large&username=ADMINISTRATOR HTTP/1.1 200 4114
0:0:0:0:0:0:0:1 - - [27/Oct/2021:08:53:59 +0530] GET /console HTTP/1.1 200 12474
0:0:0:0:0:0:0:1 - - [27/Oct/2021:08:53:59 +0530] GET /css/bootstrap-dialog.css HTTP/1.1 200 2554
